"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replication";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"science1";"science2";"science3";"error_int";"error_ext";"error_comm1";"error_comm2";"error_comm3";"error_comm4";"error_impro1";"error_impro2";"error_impro3";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"CON";"na";"mean_trust";"mean_value";"mean_science";"mean_errorcomm";"mean_errorimpro";"mean_attr"
"69";6;3;7;4;4;4;4;5;5;3;3;3;3;3;3;4;3;5;4;5;5;5;5;5;5;"2";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,4;3;3,33333333333333;4,75;5;2
"70";7;1;7;5;4;4;3;4;4;3;4;3;3;1;1;2;6;2;4;7;7;5;5;6;6;"1";"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,8;3,25;1,33333333333333;5,75;5,66666666666667;-4
"71";7;2;7;7;7;6;6;6;6;4;4;4;3;6;5;5;4;2;2;5;5;2;5;5;5;"1";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,2;3,75;5,33333333333333;3,5;5;-2
"72";7;1;7;7;7;7;7;7;7;5;5;5;2;3;2;2;1;6;2;2;2;2;4;6;5;"1";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,25;2,33333333333333;2;5;5
"73";7;2;7;4;5;5;5;6;4;4;4;3;1;6;5;3;5;5;4;6;6;5;6;6;6;"2";"Deleted to protect anonymity";57;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5;3;4,66666666666667;5,25;6;0
"74";7;1;1;7;7;7;7;7;7;5;4;5;4;1;1;4;5;5;7;3;3;3;5;6;6;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;4,5;2;4;5,66666666666667;0
"75";6;2;7;5;2;2;3;3;3;2;2;2;2;3;3;6;6;6;7;5;5;6;6;6;7;"2";"Deleted to protect anonymity";54;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;2,6;2;4;5,75;6,33333333333333;0
"76";5;3;5;5;5;5;5;5;5;4;3;3;2;3;5;4;5;4;4;3;3;4;3;3;3;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5;3;4;3,5;3;-1
"77";5;3;6;2;6;6;7;7;7;4;4;3;2;2;3;2;4;6;7;4;5;6;7;7;7;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,6;3,25;2,33333333333333;5,5;7;2
"78";6;7;7;5;2;7;7;3;2;4;5;5;3;2;6;5;4;6;5;7;7;4;5;6;7;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,2;4,25;4,33333333333333;5,75;6;2
"79";7;1;7;7;3;3;2;6;3;2;4;1;4;2;2;6;5;5;3;2;3;2;6;6;6;"2";"Deleted to protect anonymity";39;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,4;2,75;3,33333333333333;2,5;6;0
"80";7;1;7;7;7;7;7;7;7;5;5;5;4;3;1;1;7;1;7;1;1;5;5;5;5;"2";"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;4,75;1,66666666666667;3,5;5;-6
"81";7;1;7;5;6;6;4;4;7;4;4;4;3;5;6;7;6;6;2;3;3;3;6;5;5;"1";"Deleted to protect anonymity";20;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3,75;6;2,75;5,33333333333333;0
"82";7;1;7;7;3;3;3;3;3;3;4;3;3;3;3;1;4;4;7;7;5;7;7;7;7;"2";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3;3,25;2,33333333333333;6,5;7;0
"83";6;2;7;5;6;6;6;6;6;4;4;4;4;2;2;2;4;4;3;5;5;5;5;5;5;"2";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6;4;2;4,5;5;0
"84";7;1;7;7;6;6;7;4;3;5;5;5;3;1;1;2;6;5;1;6;4;1;5;5;6;"2";"Deleted to protect anonymity";59;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,2;4,5;1,33333333333333;3;5,33333333333333;-1
"85";3;5;4;5;4;5;5;4;5;3;3;2;3;3;4;3;5;4;5;3;5;4;4;5;4;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,6;2,75;3,33333333333333;4,25;4,33333333333333;-1
"86";7;1;7;4;3;3;5;5;4;4;4;5;3;1;1;2;4;6;4;5;5;4;7;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4;4;1,33333333333333;4,5;7;2
"87";7;1;7;7;7;7;7;7;7;5;5;2;1;1;7;4;6;6;6;6;6;5;6;6;6;"1";"Deleted to protect anonymity";58;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;3,25;4;5,75;6;0
"88";7;1;7;1;7;7;7;7;7;5;5;5;5;7;7;4;4;4;7;7;7;7;7;7;7;"2";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;5;6;7;7;0
"89";7;1;7;7;5;6;6;6;6;4;5;4;3;1;1;1;3;6;7;7;7;6;6;7;6;"2";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,8;4;1;6,75;6,33333333333333;3
"90";2;2;2;2;6;3;3;5;5;2;3;3;3;6;3;3;2;3;3;3;3;3;3;3;2;"NA";"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,4;2,75;4;3;2,66666666666667;1
"91";7;1;7;4;5;5;4;4;4;3;4;2;1;4;5;6;4;4;6;6;4;5;6;6;6;"1";"Deleted to protect anonymity";59;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,4;2,5;5;5,25;6;0
"92";7;1;7;4;5;5;5;3;4;3;4;3;2;1;1;1;6;5;7;7;6;6;7;7;7;"2";"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,4;3;1;6,5;7;-1
"93";7;1;7;7;7;7;7;7;7;5;5;5;3;1;1;4;4;4;4;4;4;4;4;4;4;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;7;4,5;2;4;4;0
"94";7;1;7;6;7;7;7;7;7;5;5;4;3;1;1;1;1;7;4;4;4;4;6;6;7;"1";"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,25;1;4;6,33333333333333;6
"95";7;1;7;4;2;2;4;4;3;2;2;1;1;3;4;4;5;5;5;5;4;5;6;6;6;"1";"Deleted to protect anonymity";61;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3;1,5;3,66666666666667;4,75;6;0
"96";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;NA;NA;NA;NA;NA;NA
"97";6;1;7;6;5;5;6;5;6;4;5;5;4;3;3;4;5;5;6;7;6;6;7;7;6;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,4;4,5;3,33333333333333;6,25;6,66666666666667;0
"98";7;1;7;4;6;7;6;5;6;4;5;5;3;2;3;4;4;3;4;5;5;5;4;4;4;"2";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6;4,25;3;4,75;4;-1
"99";7;1;7;6;5;5;7;7;7;4;4;2;3;2;2;6;5;5;6;6;6;6;6;6;6;"1";"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,2;3,25;3,33333333333333;6;6;0
"100";5;5;3;3;5;4;5;3;4;3;4;3;4;5;4;5;4;4;6;6;3;3;6;4;4;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;4,2;3,5;4,66666666666667;4,5;4,66666666666667;0
"101";7;1;7;3;5;4;5;5;5;3;3;3;5;2;1;3;3;5;6;6;4;5;6;6;4;"2";"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,8;3,5;2;5,25;5,33333333333333;2
"102";6;2;1;4;2;4;4;2;2;3;3;3;1;3;2;7;5;5;5;5;5;5;5;5;5;"1";"Deleted to protect anonymity";67;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;2,8;2,5;4;5;5;0
"103";5;4;3;5;4;5;3;4;5;3;2;3;4;3;4;5;4;5;4;3;4;3;4;5;5;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,2;3;4;3,5;4,66666666666667;1
"104";7;1;7;3;5;5;6;6;6;4;4;2;4;1;1;1;5;4;5;7;7;6;7;5;6;"2";"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,6;3,5;1;6,25;6;-1
"105";6;1;6;6;7;7;7;7;7;5;5;4;5;6;6;6;6;5;7;7;7;7;6;7;7;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,75;6;7;6,66666666666667;-1
"106";4;2;7;5;2;3;3;4;2;2;3;3;1;2;2;5;4;4;6;6;6;6;6;6;6;"2";"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;2,8;2,25;3;6;6;0
"107";7;1;7;7;6;5;4;6;5;4;5;5;2;4;6;7;5;6;2;5;6;7;5;6;5;"1";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,2;4;5,66666666666667;5;5,33333333333333;1
"108";7;1;7;5;6;5;5;4;4;4;4;3;3;4;3;5;4;4;6;6;6;6;4;4;4;"1";"Deleted to protect anonymity";57;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,8;3,5;4;6;4;0
"109";5;3;6;3;3;4;4;3;3;2;3;3;2;4;5;3;3;5;6;5;6;5;6;6;6;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,4;2,5;4;5,5;6;2
"110";7;3;2;7;2;2;4;3;6;2;3;5;4;6;4;5;1;3;4;6;1;6;3;5;2;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,4;3,5;5;4,25;3,33333333333333;2
"111";7;1;7;6;6;6;6;6;6;4;4;3;3;2;2;3;6;6;7;7;7;7;7;7;7;"2";"Deleted to protect anonymity";54;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6;3,5;2,33333333333333;7;7;0
"112";7;1;7;6;7;6;6;6;6;4;4;4;3;3;3;2;6;6;3;6;5;4;3;3;3;"3";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6,2;3,75;2,66666666666667;4,5;3;0
"113";7;1;1;5;2;7;3;1;6;4;5;4;2;6;2;6;7;7;7;7;5;6;6;7;5;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,8;3,75;4,66666666666667;6,25;6;0
"114";5;4;5;5;3;6;5;3;4;4;3;4;3;1;2;4;4;4;3;5;4;5;6;5;5;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,2;3,5;2,33333333333333;4,25;5,33333333333333;0
"115";5;4;7;6;4;4;2;2;2;3;3;3;4;4;4;4;6;5;4;4;2;7;6;5;6;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;2,8;3,25;4;4,25;5,66666666666667;-1
"116";6;4;7;5;4;4;5;5;5;3;4;3;3;2;4;4;4;4;6;6;6;6;6;6;6;"2";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,6;3,25;3,33333333333333;6;6;0
"117";6;2;7;7;4;5;5;6;5;4;3;3;2;2;2;2;5;6;4;4;5;4;2;2;2;"2";"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5;3;2;4,25;2;1
"118";7;1;7;7;2;2;2;2;2;2;3;2;4;2;2;2;2;6;7;7;6;7;7;7;7;"2";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;2;2,75;2;6,75;7;4
"119";7;1;7;5;3;4;3;3;3;3;4;3;2;5;5;6;6;5;2;3;3;2;3;4;3;"2";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,2;3;5,33333333333333;2,5;3,33333333333333;-1
"120";6;2;7;6;6;6;6;6;6;5;5;4;4;2;2;6;5;3;5;3;5;5;6;6;6;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6;4,5;3,33333333333333;4,5;6;-2
"121";5;2;6;4;6;5;5;5;6;4;3;3;2;1;4;2;2;3;5;4;4;4;6;5;6;"2";"Deleted to protect anonymity";59;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,4;3;2,33333333333333;4,25;5,66666666666667;1
"122";7;1;7;3;3;3;3;4;3;2;2;2;1;5;6;7;7;5;7;5;5;6;7;7;7;"1";"Deleted to protect anonymity";0,36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;3,2;1,75;6;5,75;7;-2
"123";7;1;7;4;3;3;3;3;2;2;2;3;2;4;4;4;4;4;3;3;3;4;5;5;5;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;2,8;2,25;4;3,25;5;0
"124";7;1;7;5;6;6;7;6;6;4;4;4;5;2;2;2;3;6;7;5;5;6;7;7;7;"1";"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,2;4,25;2;5,75;7;3
"125";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"Deleted to protect anonymity";NA;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;NA;NA;NA;NA;NA;NA
"126";5;5;4;5;2;5;5;3;3;3;4;3;4;3;3;5;5;4;5;5;5;4;5;5;5;"2";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,6;3,5;3,66666666666667;4,75;5;-1
"127";7;4;7;5;7;5;4;5;4;3;4;2;4;4;1;4;1;5;7;3;4;3;7;5;5;"2";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5;3,25;3;4,25;5,66666666666667;4
"128";5;4;4;5;4;5;3;4;3;4;4;3;4;4;2;4;5;4;5;6;5;5;6;5;5;"1";"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;3,8;3,75;3,33333333333333;5,25;5,33333333333333;-1
"129";7;1;7;7;7;5;7;5;4;3;3;3;3;4;4;4;2;4;7;7;7;7;7;7;7;"2";"Deleted to protect anonymity";44;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5,6;3;4;7;7;2
"130";7;1;7;5;5;5;4;4;4;3;4;2;3;2;2;5;5;4;4;6;6;5;5;5;6;"1";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,4;3;3;5,25;5,33333333333333;-1
"131";7;1;7;4;2;4;5;4;3;3;3;2;1;3;3;7;3;4;7;5;6;6;7;7;7;"1";"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;3,6;2,25;4,33333333333333;6;7;1
"132";5;2;6;3;4;4;4;5;4;3;3;3;3;3;2;5;4;5;4;3;5;4;5;4;5;"1";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,2;3;3,33333333333333;4;4,66666666666667;1
"133";7;1;7;5;5;6;5;6;6;4;5;4;3;4;2;3;2;5;4;5;5;4;5;6;6;"1";"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;5,6;4;3;4,5;5,66666666666667;3
"134";7;1;7;5;7;7;6;7;7;5;5;5;5;2;2;6;5;5;5;7;6;6;6;6;6;"2";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,8;5;3,33333333333333;6;6;0
"135";5;3;6;5;6;6;5;5;5;4;4;4;4;1;1;1;5;6;6;6;7;6;6;5;6;"2";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;5,4;4;1;6,25;5,66666666666667;1
"136";7;1;7;6;7;6;6;7;7;4;5;5;3;2;3;2;3;5;3;5;5;5;4;4;4;"2";"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,6;4,25;2,33333333333333;4,5;4;2
"137";7;1;7;5;7;7;7;7;7;5;5;4;4;1;2;6;6;2;6;7;7;6;7;6;7;"1";"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;7;4,5;3;6,5;6,66666666666667;-4
"138";6;2;5;6;6;7;6;6;6;5;5;4;4;2;3;3;4;4;5;5;5;4;4;4;4;"3";"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,2;4,5;2,66666666666667;4,75;4;0
